# 常见错词表：<错误写法><TAB><正确写法><TAB><说明>
# 只登记确定的「错→对」映射。正确写法一律进 typo-whitelist.txt，不进本表。
# 候选必须经 LLM 裁定，脚本候选不得直接生成修订（spec §9.7）。
布署	部署	形近误用
按装	安装	音近误用
帐号	账号	帐/账 分工：账目用账
帐户	账户	帐/账 分工：账目用账
既使	即使	既/即 音近误用
做为	作为	做/作 误用
截止目前	截至目前	截止/截至 误用
截止今天	截至今天	截止/截至 误用
交待	交代	规范写法为交代
渡过难关	度过难关	度/渡：时间用度，水面用渡
一如继往	一如既往	既/继 误用
不径而走	不胫而走	胫/径 误用
迫不急待	迫不及待	及/急 误用
再接再励	再接再厉	厉/励 误用
甘败下风	甘拜下风	拜/败 误用
病入膏盲	病入膏肓	肓/盲 误用
草管人命	草菅人命	菅/管 误用
穿流不息	川流不息	川/穿 误用
一愁莫展	一筹莫展	筹/愁 误用
走头无路	走投无路	投/头 误用
名负其实	名副其实	副/负 误用
不加思索	不假思索	假/加 误用
坐阵指挥	坐镇指挥	镇/阵 误用
了如指章	了如指掌	掌/章 误用
默守成规	墨守成规	墨/默 误用
一榻糊涂	一塌糊涂	塌/榻 误用
惨绝人环	惨绝人寰	寰/环 误用
渡假	度假	度/渡 误用
必须品	必需品	需/须 误用
迫在没睫	迫在眉睫	眉/没 误用
按步就班	按部就班	部/步 误用
声名雀起	声名鹊起	鹊/雀 误用
如火如茶	如火如荼	荼/茶 误用
纪往开来	继往开来	继/纪 误用
食不裹腹	食不果腹	果/裹 误用
毕竟全功	毕其功于一役	成语误植
栩栩如声	栩栩如生	生/声 误用
应接不睱	应接不暇	暇/睱 误用
